FID,OBJECTID,SHAPE,BAUM_ID,DATENFUEHRUNG,BEZIRK,OBJEKT_STRASSE,GEBIETSGRUPPE,GATTUNG_ART,PFLANZJAHR,PFLANZJAHR_TXT,STAMMUMFANG,STAMMUMFANG_TXT,BAUMHOEHE,BAUMHOEHE_TXT,KRONENDURCHMESSER,KRONENDURCHMESSER_TXT,BAUMNUMMER,SE_ANNO_CAD_DATA
BAUMKATOGD.576868282,576868282,POINT (16.37942238390061 48.247916497384615),146537,magistrat,20,Aignerstraße,"MA 28 - Straße, Grünanlage",Acer pseudoplatanus (Bergahorn),1990,1990,100,100 cm,2,6-10 m,2,4-6 m,3006,
BAUMKATOGD.576868283,576868283,POINT (16.316160457381496 48.17808171430901),247931,magistrat,12,"12., Parkanlage Steinweisweg, MA42",MA 42 - Parkanlage,Acer platanoides (Spitzahorn),0,nicht definiert,38,38 cm,2,6-10 m,1,0-3 m,3031/B,
BAUMKATOGD.576868284,576868284,POINT (16.316145958700815 48.178021007233625),247934,magistrat,12,"12., Parkanlage Steinweisweg, MA42",MA 42 - Parkanlage,Ulmus minor (Feldulme),0,nicht definiert,38,38 cm,2,6-10 m,1,0-3 m,3032/B,
BAUMKATOGD.576868285,576868285,POINT (16.356979845718048 48.22472261160381),319485,magistrat,9,Boltzmanngasse,"MA 28 - Straße, Grünanlage",Fraxinus ornus 'Obelisk' (Säulenblumenesche),2018,2018,28,28 cm,1,0-5 m,1,0-3 m,2002,
BAUMKATOGD.576868286,576868286,POINT (16.417227581653442 48.17962210193351),33777,magistrat,11,Leopold-Abelles-Gasse,"MA 28 - Straße, Grünanlage",Sophora japonica (Schnurbaum),1990,1990,103,103 cm,2,6-10 m,2,4-6 m,2002,
BAUMKATOGD.576868287,576868287,POINT (16.36938857607586 48.21831041873914),161849,magistrat,9,Carl-Szokoll-Platz,"MA 28 - Straße, Grünanlage",Acer platanoides (Spitzahorn),1977,1977,108,108 cm,2,6-10 m,3,7-9 m,1001,
BAUMKATOGD.576868288,576868288,POINT (16.36926423362861 48.218311983484206),161851,magistrat,9,Carl-Szokoll-Platz,"MA 28 - Straße, Grünanlage",Acer platanoides (Spitzahorn),1978,1978,104,104 cm,3,11-15 m,4,10-12 m,1003,
BAUMKATOGD.576868289,576868289,POINT (16.316129967048457 48.177996003168275),247936,magistrat,12,"12., Parkanlage Steinweisweg, MA42",MA 42 - Parkanlage,Acer platanoides (Spitzahorn),0,nicht definiert,46,46 cm,1,0-5 m,1,0-3 m,3032/D,
BAUMKATOGD.576868290,576868290,POINT (16.316160219434458 48.178001943985),247935,magistrat,12,"12., Parkanlage Steinweisweg, MA42",MA 42 - Parkanlage,Acer platanoides (Spitzahorn),0,nicht definiert,50,50 cm,1,0-5 m,1,0-3 m,3032/C,
BAUMKATOGD.576868291,576868291,POINT (16.356437812020555 48.24568904304836),370284,magistrat,19,"19., Setagayapark, MA42",MA 42 - Parkanlage,Prunus subhirtella 'Accolade' (Jap. Blütenkirsche rosa),2023,2023,29,29 cm,1,0-5 m,1,0-3 m,7001,
BAUMKATOGD.576868292,576868292,POINT (16.316149472834375 48.17797460258394),247937,magistrat,12,"12., Parkanlage Steinweisweg, MA42",MA 42 - Parkanlage,Acer pseudoplatanus (Bergahorn),0,nicht definiert,69,69 cm,2,6-10 m,1,0-3 m,3033,
BAUMKATOGD.576868293,576868293,POINT (16.417188998713787 48.17945773224826),33778,magistrat,11,Leopold-Abelles-Gasse,"MA 28 - Straße, Grünanlage",Sophora japonica (Schnurbaum),1998,1998,88,88 cm,2,6-10 m,2,4-6 m,2003,
BAUMKATOGD.576868294,576868294,POINT (16.36920210060113 48.218372075976355),161852,magistrat,9,Carl-Szokoll-Platz,"MA 28 - Straße, Grünanlage",Acer platanoides (Spitzahorn),1983,1983,92,92 cm,2,6-10 m,3,7-9 m,1004,
BAUMKATOGD.576868295,576868295,POINT (16.423975317879226 48.278513524248226),155952,magistrat,21,Ruthnergasse,"MA 28 - Straße, Grünanlage",Acer platanoides 'Columnare' (Säulenahorn),2011,2011,28,28 cm,1,0-5 m,1,0-3 m,123,
BAUMKATOGD.576868296,576868296,POINT (16.28382016663764 48.14078443677841),268721,magistrat,23,"23., Parkanlage Robinsonweg, MA42",MA 42 - Parkanlage,Robinia pseudoacacia (Scheinakazie),0,nicht definiert,156,156 cm,3,11-15 m,2,4-6 m,1,
BAUMKATOGD.576868297,576868297,POINT (16.3161051146124 48.17793529428472),247940,magistrat,12,"12., Parkanlage Steinweisweg, MA42",MA 42 - Parkanlage,Acer campestre (Feldahorn),0,nicht definiert,68,68 cm,2,6-10 m,2,4-6 m,3034,
